"REF_DATE","GEO","DGUID","Gender (3)","Marital status (13)","Age (16)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","40 to 44 years","","0","units","0","","44.1.10.7","12785","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","45 to 49 years","","0","units","0","","44.1.10.8","10095","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","50 to 54 years","","0","units","0","","44.1.10.9","9370","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","55 to 59 years","","0","units","0","","44.1.10.10","9390","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","60 to 64 years","","0","units","0","","44.1.10.11","6825","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","65 to 69 years","","0","units","0","","44.1.10.12","4325","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","70 to 74 years","","0","units","0","","44.1.10.13","2785","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","75 to 79 years","","0","units","0","","44.1.10.14","1370","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","80 to 84 years","","0","units","0","","44.1.10.15","815","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Never married","85 years and over","","0","units","0","","44.1.10.16","1000","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Separated","Total - Age","","0","units","0","","44.1.11.1","34465","","","","0"
"2021","Kitchener--Waterloo--Barrie, Ont.","2021S05003540","Total - Gender","Not married and not living common law - Separated","20 to 24 years","","0","units","0","","44.1.11.3","160","","","","0"
